company_name,location,ctc,skill_required
Azure Knowledge Corporation,Ahmedabad,"₹ 2,00,001 - 2,12,001                                

                        ₹ 2,00,001 - 2,12,001 /year",Gujarati Proficiency (Spoken)
Avidclan Technologies,Ahmedabad,"₹ 3,00,000 - 7,50,000                                

                        ₹ 3,00,000 - 7,50,000 /year",.NET
Digital Verto,Vijayawada,"₹ 2,00,000 - 3,60,000                                

                        ₹ 2,00,000 - 3,60,000 /year",Adobe After Effects
Esyacode Software,"Bangalore, Bomanhalli","₹ 2,40,000 - 4,80,000                                

                        ₹ 2,40,000 - 4,80,000 /year",English Proficiency (Spoken)
Anm Consultants,"Bhubaneswar, Cuttack, Dhenkanal, Jajpur Road, Odisha","₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Employee Relations
Eqaro Surety Private Limited,Bangalore,"₹ 2,40,000 - 4,80,000                                

                        ₹ 2,40,000 - 4,80,000 /year",Client Relationship
Bonzer Hospitality Private Limited,Mumbai,"₹ 2,05,000 - 4,20,000                                

                        ₹ 2,05,000 - 4,20,000 /year",English Proficiency (Spoken)
Industrial Equipment Company,"Bhiwadi, Rajasthan                                            (Hybrid)","₹ 3,04,999 - 6,00,000                                

                        ₹ 3,04,999 - 6,00,000 /year",English Proficiency (Written)
Lime Tree Hotels,Gurgaon,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",English Proficiency (Written)
Divya Pal,Work from home,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Digital Marketing
News HL,Noida,"₹ 3,00,000 - 4,50,000                                

                        ₹ 3,00,000 - 4,50,000 /year",Adobe Illustrator
YBP DIGITAL MEDIA MANAGEMENT PRIVATE LIMITED,Bangalore                                            (Hybrid),"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
Fundamento,Delhi,"₹ 3,60,000 - 4,00,000                                

                        ₹ 3,60,000 - 4,00,000 /year",Effective Communication
RL Tours And Travels,Bangalore,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Computer skills
603 The CoWorking Space India,"Mumbai, Bandra","₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Administrative Support
V-Key Pte Limited,Work from home,"₹ 2,50,000 - 5,00,000                                

                        ₹ 2,50,000 - 5,00,000 /year",Database Management System (DBMS)
CodeFobe,Work from home,"₹ 3,60,000 - 4,80,000                                

                        ₹ 3,60,000 - 4,80,000 /year",Collaboration
NoBrokerHood,Bangalore,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",Hindi Proficiency (Spoken)
Carufus Technology Private Limited,Mumbai                                            (Hybrid),"₹ 2,50,000 - 3,50,000                                

                        ₹ 2,50,000 - 3,50,000 /year",AngularJS
Weekday,Work from home,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",Client Relationship Management (CRM)
Lawtech,"Indore, Bhopal, Gwalior","₹ 5,00,000 - 8,00,000                                

                        ₹ 5,00,000 - 8,00,000 /year",Business Development
Hustlr Staffing Services,Agra,"₹ 3,60,000 - 4,80,000                                

                        ₹ 3,60,000 - 4,80,000 /year",Classroom Management
Hustlr Staffing Services,Agra,"₹ 3,60,000 - 4,80,000                                

                        ₹ 3,60,000 - 4,80,000 /year",Classroom Management
Vidhi Aagaz,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Adobe After Effects
Practice Buzz,Work from home,"₹ 2,40,000 - 4,80,000                                

                        ₹ 2,40,000 - 4,80,000 /year",Blogging
Hustlr Staffing Services,Agra,"₹ 3,60,000 - 4,80,000                                

                        ₹ 3,60,000 - 4,80,000 /year",Classroom Management
Transinfo Solutions,Kolkata,"₹ 2,16,000 - 2,88,000                                

                        ₹ 2,16,000 - 2,88,000 /year",Creative Writing
Hustlr Staffing Services,Agra,"₹ 3,60,000 - 4,80,000                                

                        ₹ 3,60,000 - 4,80,000 /year",Classroom Management
"SHEOWS                            
NGO",Delhi,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",English Proficiency (Spoken)
Saregama India Limited,Work from home,"₹ 2,00,000 - 2,16,000                                

                        ₹ 2,00,000 - 2,16,000 /year",Adobe After Effects
Narendra B Shah And Associates,Ahmedabad,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Accounting
Wheelers Global Edu Consultz,Chennai,"₹ 2,00,000 - 3,50,000                                

                        ₹ 2,00,000 - 3,50,000 /year",Counseling
Regenesys Education,Navi Mumbai,"₹ 6,00,000 - 8,00,000                                

                        ₹ 6,00,000 - 8,00,000 /year",English Proficiency (Spoken)
Cyber Curate Tech,Bangalore,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",Client Relationship
Stack Infinite,Indore,"₹ 2,00,000 - 7,00,000                                

                        ₹ 2,00,000 - 7,00,000 /year",Creative Writing
Hitha Consulting,Chennai,"₹ 9,60,000 - 12,00,000                                

                        ₹ 9,60,000 - 12,00,000 /year",Accounting
Velozity Global Solutions,Chennai,"₹ 2,20,000 - 3,30,000                                

                        ₹ 2,20,000 - 3,30,000 /year",Data entry
SRM University Andhra Pradesh,Amaravathi,"₹ 9,00,000 - 15,00,000                                

                        ₹ 9,00,000 - 15,00,000 /year",Research and Analytics
Supernova AI,Bangalore,"₹ 8,00,000 - 20,00,000                                

                        ₹ 8,00,000 - 20,00,000 /year",Animation
Permeshwar Fashion Impex,"Silvassa, Vapi, Daman","₹ 2,24,000 - 4,08,000                                

                        ₹ 2,24,000 - 4,08,000 /year",Computer skills
SpotLet,Hyderabad,"₹ 3,80,000 - 6,50,000                                

                        ₹ 3,80,000 - 6,50,000 /year",Effective Communication
Matebiz Private Limited,Delhi,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Business Development
Sadev Homes,Gurgaon,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Document Management
Cosmos Staffing Solutions,Gurgaon,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Client Interaction
Infinitam Experts Integrated Solutions Private Limited,"Delhi, Noida","₹ 2,50,000 - 5,00,000                                

                        ₹ 2,50,000 - 5,00,000 /year",Effective Communication
WowMakers,Kochi,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",English Proficiency (Spoken)
Capes India,Mumbai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Content Editing
Hospitality First,Mumbai,"₹ 2,00,000 - 3,50,000                                

                        ₹ 2,00,000 - 3,50,000 /year",Effective Communication
TechGuide,Mumbai,"₹ 2,50,000 - 3,50,000                                

                        ₹ 2,50,000 - 3,50,000 /year",Computer Networking
WinMagic Toys Private Limited,Mumbai,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",Blogging
Wecredit,Delhi,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",MS-Excel
DOC-Q,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
Shree Urban Design Studio,Bhopal                                            (Hybrid),"₹ 2,00,020 - 2,16,020                                

                        ₹ 2,00,020 - 2,16,020 /year",AutoCAD
Cloudfinch,Mumbai,"₹ 3,60,000 - 4,20,000                                

                        ₹ 3,60,000 - 4,20,000 /year",GitHub
No Broker,Bangalore,"₹ 3,00,000 - 6,30,000                                

                        ₹ 3,00,000 - 6,30,000 /year",Effective Communication
Scaler,"Bangalore, Karnataka","₹ 5,00,000 - 6,00,000                                

                        ₹ 5,00,000 - 6,00,000 /year",Client Relationship Management (CRM)
Floss Dental,Delhi                                            (Hybrid),"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Adobe Illustrator
NoBroker Technologies Solutions Private Limited,Work from home,"₹ 2,10,000 - 2,25,000                                

                        ₹ 2,10,000 - 2,25,000 /year",English Proficiency (Spoken)
Hansa Cequity,Mumbai,"₹ 3,50,000                                

                        ₹ 3,50,000 /year",Client Interaction
Jungleworks,Work from home,"₹ 8,00,000 - 12,00,000                                

                        ₹ 8,00,000 - 12,00,000 /year",English Proficiency (Spoken)
GrowthX Analytics,Raipur,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Analytical Thinking
Brandzzy SoftTech Private Limited,Work from home,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Branding
JossMin Valves And Automations Private Limited,Vasai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Document Management
Propel Pioneer,Work from home,"₹ 2,00,000 - 2,16,000                                

                        ₹ 2,00,000 - 2,16,000 /year",Digital Marketing
D2H Property,Mumbai,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",English Proficiency (Spoken)
Hexanode Digital Technology,Chennai,"₹ 6,00,000 - 8,00,000                                

                        ₹ 6,00,000 - 8,00,000 /year",AWS Lambda
Friends Power,"Bokaro Steel City, Dhanbad, Giridih","₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",B2B Sales
Osone Academy,Nagercoil,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Effective Communication
WEchartered Consultancy Private Limited,Gurgaon,"₹ 2,00,000 - 2,90,000                                

                        ₹ 2,00,000 - 2,90,000 /year",English Proficiency (Spoken)
LJ Webtech,Work from home,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",English Proficiency (Spoken)
Hidani Tech,Work from home,"₹ 2,40,000 - 2,50,000                                

                        ₹ 2,40,000 - 2,50,000 /year",Email Marketing
Teambees Corp,Gurgaon,"₹ 2,45,000 - 3,00,000                                

                        ₹ 2,45,000 - 3,00,000 /year",Document Management
IDZ Digital Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Unity Engine
Dramantram,"Delhi, Lucknow","₹ 2,40,000 - 4,00,000                                

                        ₹ 2,40,000 - 4,00,000 /year",Accounting
SkillGenic Academy,Work from home,"₹ 3,00,000 - 6,00,000                                

                        ₹ 3,00,000 - 6,00,000 /year",MS-Excel
Visualview Media,Pune,"₹ 5,00,000                                

                        ₹ 5,00,000 /year",Content Management
Deepnexus S,Work from home,"₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",Data Analytics
Ambe Healthcare Staffing,Mumbai,"₹ 2,00,000 - 2,05,000                                

                        ₹ 2,00,000 - 2,05,000 /year",Effective Communication
Brand Foundry,Mumbai,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Digital Marketing
Visualview Media,Pune,"₹ 5,00,000                                

                        ₹ 5,00,000 /year",Content Editing
YES Italy Edutech Pvt. Ltd.,Delhi,"₹ 4,00,000 - 8,00,000                                

                        ₹ 4,00,000 - 8,00,000 /year",Counseling
Learningshala,Noida,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",Effective Communication
SkillGenic Academy,Indore,"₹ 3,00,000 - 6,00,000                                

                        ₹ 3,00,000 - 6,00,000 /year",English Proficiency (Spoken)
VPLytics Solutions Private Limited,Pune,"₹ 2,80,000 - 4,50,000                                

                        ₹ 2,80,000 - 4,50,000 /year",Data Analytics
Digital Marketing Agency,Kolkata,"₹ 2,20,000 - 4,00,000                                

                        ₹ 2,20,000 - 4,00,000 /year",Creative Writing
Firewalkerapps (App-Lause),Work from home,"₹ 2,00,500 - 3,00,500                                

                        ₹ 2,00,500 - 3,00,500 /year",Adobe After Effects
Grav Web Solution,Noida,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",Digital Marketing
Sharpener Tech,Work from home,"₹ 5,00,000 - 7,00,000                                

                        ₹ 5,00,000 - 7,00,000 /year",Data Analytics
Nexsys Process Automations Pvt Ltd,"Indore, Hyderabad","₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Performance Monitoring
Unacademy (Sorting Hat Technologies Private Limited),Noida,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Cold Calling
SunDental,Mumbai                                            (Hybrid),"₹ 2,15,000 - 3,30,000                                

                        ₹ 2,15,000 - 3,30,000 /year",English Proficiency (Spoken)
Think Monk Eduteach,Mumbai,"₹ 2,40,000 - 6,00,000                                

                        ₹ 2,40,000 - 6,00,000 /year",English Proficiency (Spoken)
"St. Thomas Public School, Kalmeshwar",Nagpur,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Computer skills
SRC,"Delhi, Gurgaon","₹ 4,00,000 - 4,50,000                                

                        ₹ 4,00,000 - 4,50,000 /year",B2B Sales
XLR8 STUDIO,Delhi,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Client Relationship Management (CRM)
IOSPulse Private Limited,Hyderabad,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Digital Marketing
ASSA ABLOY,Jamnagar,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",AutoCAD
Meon Technologies,Noida,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Digital Marketing
Gharana Resort,"Hooghly, Singur","₹ 2,10,000 - 2,60,001                                

                        ₹ 2,10,000 - 2,60,001 /year",Culinary Arts
Entrer Digimonde,"Chandigarh, Delhi, Mohali, Haryana, Punjab, Himachal Pradesh                                            (Hybrid)","₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
QuickTouch Technologies Limited,Delhi,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",Effective Communication
Scaling Wolves,Kolkata,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",A/B Testing
Logicsofts Solutions Limited,Gurgaon,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",Digital Marketing
Frenzy Holidays,Navi Mumbai,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Digital Marketing
Enmindz Educational Consultancy LLP,Kochi,"₹ 2,50,000 - 3,80,000                                

                        ₹ 2,50,000 - 3,80,000 /year",MS-Excel
Swadeshi Sanchaar,Bangalore                                            (Hybrid),"₹ 2,10,000 - 2,31,000                                

                        ₹ 2,10,000 - 2,31,000 /year",Client Relationship Management (CRM)
Aarivs Apostle,"Naihati, Kolkata","₹ 2,50,000 - 5,34,000                                

                        ₹ 2,50,000 - 5,34,000 /year",Leadership
Blooming Heart Academy,Delhi                                            (Hybrid),"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Creative Writing
Webspero Solutions - A Unit Of Rank Mate Private Limited,Mohali,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Creative Writing
Pixel Portal,Work from home,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Adobe Photoshop
Care Infotech,Mundra,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Computer Networking
Nvest Solution Private Limited,"Thane, Dombivli, Kalyan, Mumbai","₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",Data Analytics
Infinity India Travel Club,Bangalore,"₹ 3,00,000 - 7,00,000                                

                        ₹ 3,00,000 - 7,00,000 /year",English Proficiency (Spoken)
Adroit Synergies Private Limited,Noida,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Cold Calling
BrightCHAMPS,Work from home,"₹ 3,00,000 - 3,50,000                                

                        ₹ 3,00,000 - 3,50,000 /year",Cold Calling
Devxnext Corporation (India) Private Limited,Work from home,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",Amazon Web Services (AWS)
NextEdge Labs,Work from home,"₹ 2,00,000 - 2,00,001                                

                        ₹ 2,00,000 - 2,00,001 /year",Angular 7.0
Agha Caravan International,Mumbai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Client Relationship
Softsensor.ai,Work from home,"₹ 3,50,000 - 4,50,000                                

                        ₹ 3,50,000 - 4,50,000 /year",Apex
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Chemistry
Contour Education,Work from home,"₹ 5,00,000                                

                        ₹ 5,00,000 /year",Chemistry
Santosa Tech Private Limited,"Thane, Mumbai, Navi Mumbai                                            (Hybrid)","₹ 2,00,000 - 2,80,000                                

                        ₹ 2,00,000 - 2,80,000 /year",English Proficiency (Spoken)
Skill2 Source,Work from home,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",English Proficiency (Spoken)
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
WeMakeScholars,"Kolkata, Hyderabad, Bangalore, Begumpet, Rajasthan, Maharashtra, Telangana, Andhra Pradesh, Madhya Pradesh, Karnataka","₹ 4,30,000 - 4,54,000                                

                        ₹ 4,30,000 - 4,54,000 /year",Effective Communication
Clappia,Bangalore,"₹ 5,00,000                                

                        ₹ 5,00,000 /year",Appium
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Economics
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
WEENSY TECHNOLOGY PRIVATE LIMITED,Rajmahal                                            (Hybrid),"₹ 6,00,000 - 15,00,000                                

                        ₹ 6,00,000 - 15,00,000 /year",Instagram营销
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
Henry Harvin,Noida,"₹ 2,00,000 - 4,50,000                                

                        ₹ 2,00,000 - 4,50,000 /year",Client Relationship Management (CRM)
GIVVEO TECHNOLOGIES PRIVATE LIMITED,Coimbatore,"₹ 2,16,000 - 3,00,000                                

                        ₹ 2,16,000 - 3,00,000 /year",Digital Marketing
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
Progress India Placement Services,"Coimbatore, Malumichampatty","₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Accounting
Raattai Handloom,"Chennai, Coimbatore, Gurgaon, Madurai","₹ 4,80,000 - 6,00,000                                

                        ₹ 4,80,000 - 6,00,000 /year",English Proficiency (Spoken)
TRIPLE INFOTECH,Coimbatore,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",AutoCAD
NVT QUALITY LIFESTYLE PROJECTS PRIVATE LIMITED,Bangalore,"₹ 6,00,000 - 9,00,000                                

                        ₹ 6,00,000 - 9,00,000 /year",Legal Drafting
Contour Education,Work from home,"₹ 4,00,000                                

                        ₹ 4,00,000 /year",Effective Communication
Infinitam Experts Integrated Solutions Private Limited,Noida,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",English Proficiency (Spoken)
Archinova Design Pvt Ltd,Hyderabad,"₹ 6,00,000 - 12,00,000                                

                        ₹ 6,00,000 - 12,00,000 /year",Adobe Photoshop
MLTI PRIVATE LIMITED,"Vapi, Umbergaon, Maharashtra, Gujarat","₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Operations
Panorama Group,Work from home,"₹ 3,44,000 - 15,60,000                                

                        ₹ 3,44,000 - 15,60,000 /year",MS-Office
Vishkar Constructions,Chennai,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Accounting
Longstays,Noida,"₹ 3,00,000 - 4,50,000                                

                        ₹ 3,00,000 - 4,50,000 /year",GST
Prashant Daebak,Work from home,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",English Proficiency (Spoken)
Urban Company,Work from home,"₹ 3,00,000 - 3,40,000                                

                        ₹ 3,00,000 - 3,40,000 /year",Effective Communication
"Pixerize.inc (Toronto, United States)",Work from home,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",APIs
Relinns Technologies,Mohali,"₹ 6,00,000 - 8,00,000                                

                        ₹ 6,00,000 - 8,00,000 /year",Adobe Creative Suite
IESoft Technologies Private Limited,Work from home,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",Bootstrap
Mr n Mrs Pet,Jaipur,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
Maxtra Technologies Private Limited,Noida,"₹ 2,00,001 - 2,50,001                                

                        ₹ 2,00,001 - 2,50,001 /year",Google AdWords
Still Travelling,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Adobe Illustrator
Chefs Marché,Jalandhar,"₹ 2,80,000 - 5,00,000                                

                        ₹ 2,80,000 - 5,00,000 /year",Social Media Marketing
VBridge Hub,Bangalore,"₹ 6,00,000                                

                        ₹ 6,00,000 /year",CSS3
Pritish Dave,Mumbai,"₹ 2,00,000 - 3,16,000                                

                        ₹ 2,00,000 - 3,16,000 /year",Accounting
Kreedology,Bangalore,"₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",Effective Communication
ABC Info Soft Private Limited,Noida,"₹ 2,20,000 - 4,20,000                                

                        ₹ 2,20,000 - 4,20,000 /year",Client Relationship Management (CRM)
SOCIOTOPS MARKETING PRIVATE LIMITED,Jaipur,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Canva
LuxaDerme,Mumbai,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Blogging
MAITREYA VRIDDHIM TRADE ROUTE LLP,Bangalore                                            (Hybrid),"₹ 2,10,000 - 3,00,000                                

                        ₹ 2,10,000 - 3,00,000 /year",Creative Writing
8848 Digital LLP,Mumbai,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",English Proficiency (Spoken)
Webspero Solutions - A Unit Of Rank Mate Private Limited,Mohali,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Creative Writing
Tapana Entertainment Pvt Ltd,Bangalore,"₹ 3,40,000                                

                        ₹ 3,40,000 /year",Arduino
The Ethnic Co,Bangalore,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Fashion Styling
Viven Embedded,Hyderabad,"₹ 2,60,000 - 5,20,000                                

                        ₹ 2,60,000 - 5,20,000 /year",Counseling
Elementz,Noida,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",English Proficiency (Spoken)
"Sevalaya                            
NGO",Chennai,"₹ 2,30,000 - 3,20,000                                

                        ₹ 2,30,000 - 3,20,000 /year",English Proficiency (Written)
Tagbag Cornerstone Private Limited,Work from home,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",CMS (Content Management System)
Cacao Love,Mumbai,"₹ 2,00,000 - 2,64,000                                

                        ₹ 2,00,000 - 2,64,000 /year",CakePHP
Shopsky Store Private Limited,Guwahati,"₹ 3,40,000 - 4,00,000                                

                        ₹ 3,40,000 - 4,00,000 /year",CCNA
Ashrita Khurana,Mumbai,"₹ 2,16,000 - 3,00,000                                

                        ₹ 2,16,000 - 3,00,000 /year",CakePHP
Saroj Education Group,Delhi,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
White Background Studio,Mumbai,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Effective Communication
Softsensor.ai,Jaipur,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",Jira
Gatitaa Technology Private Limited,"Pune, Kasarwadi","₹ 3,24,000 - 3,96,000                                

                        ₹ 3,24,000 - 3,96,000 /year",Digital Marketing
Livofy,Work from home,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Dietetics/Nutrition
WEENSY TECHNOLOGY PRIVATE LIMITED,Work from home,"₹ 10,00,000 - 12,50,000                                

                        ₹ 10,00,000 - 12,50,000 /year",Facebook Ads
ONE XL INFO LLP,Pune,"₹ 3,00,000 - 3,60,000                                

                        ₹ 3,00,000 - 3,60,000 /year",CSS
WEENSY TECHNOLOGY PRIVATE LIMITED,Work from home,"₹ 9,00,000 - 10,50,000                                

                        ₹ 9,00,000 - 10,50,000 /year",Video Editing
Mud Ash Foodworks Pvt. Ltd,Bangalore,"₹ 4,00,000                                

                        ₹ 4,00,000 /year",Digital Marketing
Synergy Connections,Bangalore,"₹ 2,50,000 - 4,00,000                                

                        ₹ 2,50,000 - 4,00,000 /year",Creative Writing
The OmniJobs,Mumbai,"₹ 2,00,000 - 3,40,000                                

                        ₹ 2,00,000 - 3,40,000 /year",Effective Communication
PHNAVA BAZAAR PVT LTD,Gurgaon,"₹ 2,60,000 - 6,50,000                                

                        ₹ 2,60,000 - 6,50,000 /year",C++ Programming
Ahinsa Polymers,Delhi,"₹ 2,05,000 - 2,25,000                                

                        ₹ 2,05,000 - 2,25,000 /year",Cold Calling
The Black Steel,Delhi,"₹ 2,10,000 - 2,40,000                                

                        ₹ 2,10,000 - 2,40,000 /year",English Proficiency (Spoken)
Aya's,Noida                                            (Hybrid),"₹ 3,00,000 - 3,60,000                                

                        ₹ 3,00,000 - 3,60,000 /year",Content Editing
Kgp2 SS India Private Limited,Pune,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Market Analysis
GROWAIEDTECH SOLUTIONS (OPC) PRIVATE LIMITED,"Coimbatore, Erode, Gobichettipalayam, Perundurai                                            (Hybrid)","₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Client Relationship Management (CRM)
Maven Group Global,Hyderabad,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",Android
Crescompany,Kharar,"₹ 2,40,000 - 4,20,000                                

                        ₹ 2,40,000 - 4,20,000 /year",Video Editing
VERIXINTELLI SYSTEMS PVT LTD,Work from home,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",English Proficiency (Spoken)
TAB Group,"Faridabad, Delhi, Ghaziabad, Gurgaon, Jaipur, Noida, Haryana","₹ 3,64,000 - 13,00,000                                

                        ₹ 3,64,000 - 13,00,000 /year",Business Development
Solidaridad,Delhi,"₹ 2,20,500 - 2,65,000                                

                        ₹ 2,20,500 - 2,65,000 /year",Accounting
Sangam Multiservices,Mumbai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Marketing
